date,time,computer.platform,computer.os,display.canvaswidth,display.canvasheight,display.width,display.height,display.refreshrate,blockcode,trialcode,trial_number,Age,Sex,Handedness,mousex,mousey,audio_condition_select
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Welcome_block,Welcome_trial,0,0,0,0,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Welcome_block,Consent1,0,0,0,0,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Welcome_block,Consent2,0,0,0,0,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Welcome_block,Consent3,0,0,0,0,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Age,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Sexoption1,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Sexoption2,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Sexoption3,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Sexoption4,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Sexother,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Handednessoption1,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Handednessoption2,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Handednessoption3,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,Handednessoption4,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,demographics,thanks,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,sound_check_block,SoundCheck1,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,sound_check_block,SoundCheck2,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,sound_check_block,SoundCheck2,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Instruction_block,Instructions1,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Instruction_block,Instructions2,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Instruction_block,begin_practice,0,19,Male,Right-handed,0,0,0
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,First_frame_trial,0,19,Male,Right-handed,0,0,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,reach_trial1,0,19,Male,Right-handed,0,0,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,Mouse_test,0,19,Male,Right-handed,689,481,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,centermouse,0,19,Male,Right-handed,689,481,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,First_frame_trial,0,19,Male,Right-handed,689,481,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,withdraw_trial1,0,19,Male,Right-handed,689,481,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,Mouse_test,0,19,Male,Right-handed,908,533,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,centermouse,0,19,Male,Right-handed,908,533,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,repractice,0,19,Male,Right-handed,908,533,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,First_frame_trial,0,19,Male,Right-handed,908,533,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,reach_trial1,0,19,Male,Right-handed,908,533,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,Mouse_test,0,19,Male,Right-handed,655,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,centermouse,0,19,Male,Right-handed,655,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,First_frame_trial,0,19,Male,Right-handed,655,475,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,withdraw_trial1,0,19,Male,Right-handed,655,475,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,Mouse_test,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,centermouse,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,repractice,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Instruction_block,Instructions1,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Instruction_block,Instructions2,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,Instruction_block,begin_practice,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,First_frame_trial,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,reach_trial1,0,19,Male,Right-handed,920,539,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,Mouse_test,0,19,Male,Right-handed,674,487,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_practice,centermouse,0,19,Male,Right-handed,674,487,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,First_frame_trial,0,19,Male,Right-handed,674,487,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,withdraw_trial1,0,19,Male,Right-handed,674,487,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,Mouse_test,0,19,Male,Right-handed,926,531,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,centermouse,0,19,Male,Right-handed,926,531,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_practice,repractice,0,19,Male,Right-handed,926,531,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,First_frame_trial_12,1,19,Male,Right-handed,926,531,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,withdraw_trial12,1,19,Male,Right-handed,926,531,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,Mouse_test,1,19,Male,Right-handed,918,524,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,centermouse,1,19,Male,Right-handed,918,524,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,First_frame_trial,2,19,Male,Right-handed,918,524,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,reach_trial1,2,19,Male,Right-handed,918,524,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,Mouse_test,2,19,Male,Right-handed,683,482,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,centermouse,2,19,Male,Right-handed,683,482,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_11,First_frame_trial_11,3,19,Male,Right-handed,683,482,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_11,withdraw_trial11,3,19,Male,Right-handed,683,482,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_11,Mouse_test,3,19,Male,Right-handed,870,526,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_11,centermouse,3,19,Male,Right-handed,870,526,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,First_frame_trial,4,19,Male,Right-handed,870,526,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,reach_trial1,4,19,Male,Right-handed,870,526,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,Mouse_test,4,19,Male,Right-handed,679,475,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,centermouse,4,19,Male,Right-handed,679,475,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_12,First_frame_trial_12,5,19,Male,Right-handed,679,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_12,reach_trial12,5,19,Male,Right-handed,679,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_12,Mouse_test,5,19,Male,Right-handed,670,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_12,centermouse,5,19,Male,Right-handed,670,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_11,First_frame_trial_11,6,19,Male,Right-handed,670,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_11,reach_trial1,6,19,Male,Right-handed,670,475,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_11,Mouse_test,6,19,Male,Right-handed,668,467,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_11,centermouse,6,19,Male,Right-handed,668,467,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,First_frame_trial_12,7,19,Male,Right-handed,668,467,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,withdraw_trial12,7,19,Male,Right-handed,668,467,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,Mouse_test,7,19,Male,Right-handed,906,532,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,centermouse,7,19,Male,Right-handed,906,532,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,First_frame_trial_12,8,19,Male,Right-handed,906,532,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,withdraw_trial12,8,19,Male,Right-handed,906,532,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,Mouse_test,8,19,Male,Right-handed,908,524,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_12,centermouse,8,19,Male,Right-handed,908,524,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,First_frame_trial,9,19,Male,Right-handed,908,524,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,reach_trial1,9,19,Male,Right-handed,908,524,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,Mouse_test,9,19,Male,Right-handed,680,480,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_1,centermouse,9,19,Male,Right-handed,680,480,2
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_1,First_frame_trial,10,19,Male,Right-handed,680,480,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_1,withdraw_trial1,10,19,Male,Right-handed,680,480,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_1,Mouse_test,10,19,Male,Right-handed,912,529,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,withdraw_block_1,centermouse,10,19,Male,Right-handed,912,529,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_12,First_frame_trial_12,11,19,Male,Right-handed,912,529,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_12,reach_trial12,11,19,Male,Right-handed,912,529,1
2022-03-24,12:48:24,mac,osx,1440px,900px,1440,900,60,reach_block_12,Mouse_test,11,19,Male,Right-handed,688,481,1
