date,time,computer.platform,computer.os,display.canvaswidth,display.canvasheight,display.width,display.height,display.refreshrate,blockcode,trialcode,trial_number,Age,Sex,Handedness,response_time,mousex,mousey,audio_condition_select,survey_Q1,survey_Q2,survey_Q3,survey_Q4,survey_Q5
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,Welcome_block,Welcome_trial,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,Welcome_block,Consent1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,Welcome_block,Consent2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,Welcome_block,Consent3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Age,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Sexoption1,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Sexoption2,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Sexoption3,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Sexoption4,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Sexother,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Handednessoption1,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Handednessoption2,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Handednessoption3,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,Handednessoption4,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,demographics,thanks,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,sound_check_block,SoundCheck1,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,13:48:48,win,win10,1920px,1080px,1920,1080,60,sound_check_block,SoundCheck2,0,30,Male,Right-handed,0,0,0,0,0,0,0,0,0
01/09/2022,11:20:33,win,win10,1920px,1080px,1920,1080,240,Welcome_block,Welcome_trial,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2022,11:20:33,win,win10,1920px,1080px,1920,1080,240,Welcome_block,Consent1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2022,11:20:33,win,win10,1920px,1080px,1920,1080,240,Welcome_block,Consent2,0,0,0,0,0,0,0,0,0,0,0,0,0
