ID,Hyp_score1,Det_sound_score1,Hyp_score2,Det_sound_score2
1,0,0,0,0.5
2,2,2,2,1
3,1.5,1.5,1,1.5
4,0,0,0,0
5,2,2,1,2
6,2,2,1,1
7,2,0,1,0.5
8,0,0,0,0
9,2,2,1,1
11,2,2,1,1
12,0,0,0,0
13,2,2,1,1
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
20,0,0,0,0
21,2,2,2,2
22,0,0,0,0
23,0,0,0,0
24,2,1.5,1,2
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,1,1,1,2
30,1,1,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0.5
34,0,0,0,0
35,0,0,0,0
36,0,2,0,2
37,0,0,0,0
38,0,0,0,0
39,0,2,0,2
41,0,0,0,0
42,0,0,0,0
43,0,2,0,2
45,1.5,1.5,1,0.5
46,2,2,2,2
