"ID","trial_number","RT","Action_Dir","Action_length","Sound","x_disp","y_disp","eucl_disp"
1,1,807,"R","3","S1",88.9721815519766,-69.03125,112.611556097411
1,2,754,"W","2","S1",-80.5549048316252,-18.90625,82.7438153670393
1,3,808,"R","1","S1",170.633967789166,-39.21875,175.083012639823
1,4,1119,"R","3","S2",126.922401171303,-63.40625,141.878992307359
1,5,468,"W","3","S1",-82.0658857979502,6.15625,82.2964703123086
1,6,790,"W","3","S2",31.7847730600292,-16.34375,35.74059264394
1,7,1089,"R","3","S1",207.03953147877,-38.09375,210.514848369447
1,8,602,"W","1","S1",62.2679355783309,6.8125,62.6394919953632
1,9,752,"R","3","S2",167.683748169839,-45.125,173.64937381196
1,11,799,"W","2","S2",-36.9824304538799,-27.34375,45.9932693590983
1,15,514,"R","1","S1",157.983894582723,-40.625,163.123577610734
1,16,719,"W","1","S2",-23.4714494875548,-19.90625,30.7760902342928
1,17,1247,"R","1","S2",160.795021961933,-40.625,165.847609909635
1,21,503,"W","2","S2",-91.7994143484627,0.78125,91.8027386643952
1,22,1294,"R","3","S2",170.494875549048,-67.625,183.416583801699
1,23,714,"R","3","S1",132.544655929722,-54.96875,143.490938013837
1,24,740,"W","2","S2",-81.9604685212298,-16.09375,83.5256079851084
1,25,538,"R","1","S2",159.389458272328,-43.4375,165.202348090444
1,26,1017,"W","3","S1",-17.4099560761347,-5.09375,18.1398142117123
1,27,316,"W","1","S1",28.5344070278186,-18.5,34.0067990911997
1,28,504,"W","3","S2",69.7349926793559,4.75,69.8965786286412
1,29,530,"R","3","S1",164.87262079063,-26.84375,167.043611073376
1,30,792,"W","3","S1",-0.543191800878503,1.9375,2.01220366328601
1,31,1570,"W","3","S1",-34.2767203513908,6.15625,34.8251772732021
1,32,564,"W","3","S2",66.9238653001464,-3.6875,67.0253787976028
1,33,602,"R","1","S1",125.655929721815,-25.15625,128.14932535256
1,34,745,"R","1","S1",84.8945827232797,-36.40625,92.3715606386634
1,35,814,"R","3","S2",62.2664714494875,-54.96875,83.0582743821008
1,36,699,"W","1","S2",-37.5270863836017,-0.21875,37.5277239385072
1,37,662,"W","3","S2",10.701317715959,0.53125,10.7144961346952
1,38,746,"W","2","S1",24.8623718887263,-20.3125,32.1050648992231
1,39,768,"R","1","S2",176.256222547584,-32.1875,179.171122514186
1,40,611,"W","1","S1",-6.60468521229859,4,7.72151971787651
1,41,862,"R","3","S2",148.005856515373,-67.625,162.723305607554
1,42,588,"W","3","S1",34.5959004392387,-0.875,34.6069639263793
1,43,910,"W","1","S2",48.212298682284,-18.5,51.6398658424841
1,44,637,"W","2","S1",9.40117130307476,-16.09375,18.6384229733166
1,45,535,"W","1","S1",36.9677891654467,-14.28125,39.6304370067177
1,46,860,"W","1","S2",51.0234260614934,-21.3125,55.2956839482313
1,47,698,"W","2","S2",62.8125915080527,-28.75,69.0795494481362
1,48,517,"W","1","S1",110.05710102489,-14.28125,110.979816126922
1,49,693,"W","2","S2",41.7291361639825,-13.28125,43.7916933510762
1,50,854,"R","1","S1",56.783308931186,-11.09375,57.8568532002649
1,51,817,"R","3","S1",117.08345534407,-42.3125,124.494510608126
1,52,627,"R","1","S2",142.522693997072,-27.96875,145.241072981252
1,53,649,"W","1","S2",32.7510980966326,-15.6875,36.3143509206106
1,54,1099,"W","3","S1",7.89019033674958,-5.09375,9.39155964750459
1,55,625,"W","3","S2",72.5461200585653,-30.40625,78.6605337803798
1,56,1207,"W","3","S1",93.6295754026355,-19.15625,95.5691336370708
1,57,634,"W","2","S1",127.468521229868,-16.09375,128.480475923744
1,58,479,"W","2","S2",100.762811127379,-34.375,106.464946021176
1,59,601,"R","3","S1",112.866764275256,-49.34375,123.181622582383
1,60,647,"W","2","S1",13.6178623718888,-17.5,22.1742232238179
1,61,939,"R","1","S1",131.278184480234,-43.4375,138.277901801685
1,62,798,"W","2","S1",58.5959004392387,-24.53125,63.5237103359657
1,63,458,"W","2","S2",33.2957540263544,-20.3125,39.0026267376121
1,64,618,"R","3","S2",131.139092240117,-49.34375,140.115192529663
1,65,583,"W","3","S2",86.601756954612,-16.34375,88.130485484242
1,66,572,"R","2","S2",72.5666178623719,-58.625,93.2888238374968
1,67,742,"W","1","S2",38.3733528550513,-21.3125,43.8946108945993
1,68,567,"R","3","S1",101.622254758419,-59.1875,117.602052781552
1,70,660,"W","1","S1",51.0234260614934,-0.21875,51.0238949769143
1,71,761,"R","1","S2",66.6222547584188,-18.125,69.0437575316962
1,72,769,"R","1","S1",115.816983894583,-27.96875,119.146232567381
1,73,642,"W","1","S1",48.212298682284,-11.46875,49.5576227314453
1,74,992,"W","3","S2",52.8682284040997,-26.1875,58.9985993972573
1,75,516,"R","2","S1",131.600292825769,-31.90625,135.41287184345
1,76,705,"W","2","S2",127.468521229868,-30.15625,130.987111268979
1,77,612,"R","2","S2",170.9560761347,-27.6875,173.183652876429
1,78,489,"W","3","S1",44.4348462664716,-21.96875,49.5689574157805
1,79,563,"R","1","S2",101.761346998536,-27.96875,105.534936014189
1,80,362,"W","2","S1",50.1625183016106,-0.625,50.1664117449057
1,81,848,"R","1","S1",162.200585651537,-46.25,168.665623307483
1,82,519,"R","3","S2",107.244509516838,-69.03125,127.540967136327
1,83,647,"R","3","S2",72.1054172767203,-67.625,98.855105207824
1,84,297,"W","2","S1",78.2737920937043,-44.21875,89.9004136825351
1,85,563,"W","3","S1",51.4626647144948,-16.34375,53.9955926310566
1,86,618,"R","1","S2",69.4333821376281,-37.8125,79.0618726777952
1,87,393,"W","1","S2",22.9121522693997,-10.0625,25.0244006494893
1,88,452,"W","2","S2",57.1903367496341,-17.5,59.8078976184295
1,89,551,"R","1","S1",55.3777452415812,-51.875,75.8795775755339
1,90,353,"W","3","S2",23.3513909224012,-19.15625,30.2034662261354
1,91,551,"R","2","S2",69.7554904831626,-48.78125,85.120143351084
1,92,453,"R","3","S1",90.3777452415812,-67.625,112.877267241691
1,93,516,"R","2","S1",116.139092240117,-65.65625,133.413012522846
1,94,567,"R","3","S2",45.3997071742314,-64.8125,79.1314954222145
1,95,1153,"R","2","S1",62.7276720351391,-60.03125,86.824603745197
1,96,229,"R","3","S1",52.4275256222547,-73.25,90.0788984328304
1,97,832,"W","3","S2",43.0292825768668,-24.78125,49.6551055848475
1,98,547,"W","3","S1",73.9516837481699,-6.5,74.2367936348906
1,99,359,"W","1","S1",125.518301610542,-41,132.044856163332
1,100,492,"R","2","S2",71.1610541727672,-69.875,99.7316963456428
1,101,349,"R","1","S2",49.7554904831626,-35,60.8326296753649
1,102,348,"W","2","S1",-4.6544655929722,-14.6875,15.4073588329136
1,104,273,"W","1","S2",39.7789165446559,-7.25,40.4342021247693
1,105,264,"R","2","S2",-24.4172767203513,-51.59375,57.0799302864037
1,106,330,"W","2","S2",19.2401171303075,-34.375,39.3931812905222
1,107,329,"R","2","S1",51.4831625183016,-44.5625,68.0906192447671
1,108,618,"W","3","S1",64.112737920937,-7.90625,64.5983897073391
1,109,371,"W","1","S1",45.4011713030748,-19.90625,49.573431843616
1,110,415,"R","1","S2",48.3499267935579,-27.96875,55.8566593836841
1,111,320,"W","1","S2",-15.0380673499267,-18.5,23.8410039558096
1,112,459,"W","3","S2",48.6515373352856,1.9375,48.6901015745161
1,113,399,"R","3","S2",91.783308931186,-66.21875,113.17728857823
1,114,464,"R","1","S1",65.216691068814,-42.03125,77.5876457338901
1,115,281,"W","1","S1",-44.5549048316252,-7.25,45.1409132002796
1,116,283,"W","2","S1",-3.24890190336737,-6.25,7.04399485929001
1,117,425,"W","1","S2",53.8345534407028,-28.34375,60.840178403933
1,118,1225,"R","1","S1",73.6500732064422,-49.0625,88.4955489816539
1,119,610,"R","3","S1",60.8609077598829,-62,86.8795148084805
1,120,541,"W","2","S2",-13.0878477306003,-13.28125,18.6462693261113
2,1,682,"W","2","S2",27,-5,27.459060435492
2,2,862,"R","3","S1",34,-23,41.0487515035476
2,3,1011,"W","2","S1",44,0,44
2,4,708,"W","1","S1",49,-4,49.1629942131274
2,5,591,"W","1","S2",40,-13,42.0594816896262
2,6,581,"W","1","S2",47,-11,48.2700735445887
2,7,882,"W","3","S1",36,-5,36.3455636907725
2,8,801,"W","2","S1",19,-6,19.9248588451713
2,9,780,"W","3","S2",39,7,39.6232255123179
2,10,1057,"W","2","S2",29,1,29.0172362570938
2,11,759,"W","3","S1",75,7,75.3259583410659
2,12,993,"R","1","S2",-9,10,13.4536240470737
2,13,757,"R","1","S1",5,-6,7.81024967590665
2,14,705,"W","1","S1",85,-9,85.4751425854324
2,15,1360,"R","1","S1",-20,4,20.3960780543711
2,16,955,"R","1","S2",-18,1,18.0277563773199
2,17,626,"W","2","S2",48,-15,50.2891638427206
2,18,776,"R","1","S1",-16,3,16.2788205960997
2,19,570,"W","2","S1",56,-20,59.464274989274
2,20,636,"W","1","S1",53,-16,55.3624421426656
2,21,730,"W","2","S2",65,-6,65.2763356814704
2,22,1130,"W","1","S2",68,0,68
2,23,748,"W","1","S2",31,-11,32.8937684067971
2,24,655,"W","2","S1",43,-31,53.0094331227943
2,25,827,"W","1","S1",33,-7,33.734255586866
2,26,1073,"W","3","S2",34,3,34.132096331752
2,27,1152,"R","3","S2",8,1,8.06225774829855
2,28,1060,"W","3","S2",17,-8,18.7882942280559
2,29,650,"W","3","S1",39,-15,41.7851648315524
2,30,911,"R","1","S2",-54,11,55.1089829338194
2,31,887,"R","3","S2",20,-29,35.2278299076171
2,32,783,"R","3","S1",-11,-4,11.7046999107196
2,33,797,"W","3","S2",41,-3,41.1096095821889
2,34,621,"W","2","S2",71,-2,71.028163428319
2,35,731,"R","3","S1",10,-25,26.9258240356725
2,36,850,"R","3","S2",-24,-23,33.2415402771893
2,37,955,"W","2","S1",26,-18,31.6227766016838
2,38,1199,"W","3","S1",60,-4,60.1331855134916
2,39,1066,"R","1","S1",-4,-5,6.40312423743285
2,40,603,"W","3","S1",42,-5,42.2965719651132
2,41,783,"R","1","S2",-43,0,43
2,42,757,"W","1","S2",49,-1,49.0102030193714
2,43,925,"R","3","S2",-2,-10,10.1980390271856
2,44,867,"R","3","S1",1,-12,12.0415945787923
2,45,909,"R","1","S2",-14,1,14.0356688476182
2,46,910,"W","3","S2",21,0,21
2,47,714,"W","3","S2",28,1,28.0178514522438
2,48,752,"W","2","S1",26,-5,26.4764045897475
2,49,696,"W","3","S1",33,8,33.9558536926993
2,50,949,"R","3","S1",-42,-9,42.9534631898291
2,51,804,"W","2","S2",72,-8,72.4430811050993
2,52,780,"R","1","S1",-10,-13,16.4012194668567
2,53,638,"W","1","S1",41,-13,43.0116263352131
2,54,769,"R","1","S2",-48,0,48
2,55,751,"R","3","S2",-33,-1,33.0151480384384
2,56,888,"W","2","S2",92,-25,95.3362470417207
2,57,619,"W","1","S2",96,-10,96.5194280961092
2,58,973,"R","1","S1",-25,15,29.1547594742265
2,59,1130,"R","3","S1",-23,-6,23.7697286480094
2,60,799,"R","3","S2",-17,19,25.4950975679639
2,61,748,"W","1","S1",70,-3,70.0642562224134
2,62,808,"R","3","S1",-24,7,25
2,63,871,"W","2","S1",29,-18,34.132096331752
2,64,1018,"W","1","S1",40,-12,41.7612260356422
2,65,946,"W","3","S1",32,-1,32.0156211871642
2,66,1329,"R","2","S2",-17,-14,22.0227155455452
2,67,761,"R","2","S1",-9,-7,11.4017542509914
2,68,773,"W","2","S1",44,-12,45.6070170039655
2,69,871,"R","1","S1",-42,2,42.0475920832573
2,70,750,"W","3","S2",61,-3,61.0737259384099
2,71,827,"W","1","S2",8,-1,8.06225774829855
2,72,457,"W","1","S2",69,-19,71.5681493403316
2,73,607,"R","1","S2",-44,9,44.9110231457712
2,74,638,"R","2","S2",-8,17,18.7882942280559
2,75,881,"R","1","S1",-47,-2,47.0425339453563
2,76,737,"R","2","S1",-10,-1,10.0498756211209
2,77,797,"R","3","S2",-18,-13,22.2036033111745
2,78,483,"W","3","S1",37,-14,39.560080889705
2,79,959,"R","1","S2",-59,13,60.4152298679729
