"ID","Hyp_score","SD_Score","RM"
1,0,0,0.138175907165677
2,0,0,0.161538461538462
3,2,2,0.814785990184765
4,1.5,2,0.33452380952381
6,0,1.5,0.0228937728937729
7,1,0,0.29257422717175
8,0,1.35,0.258819285289874
9,0,0,0.533614915680133
10,1,0,-0.192388167388167
11,1.5,1.75,0.399086452762923
12,0,0,-0.0404761904761905
14,1.5,1.4,0.595991045991046
15,0,2,0.583282458282458
18,0,0,0.0176925413767518
19,1,0,0.0252162268416138
20,0,0,0.497203722203722
21,0,0,0.225369945958181
22,0,0,0.0858528460964859
24,1.5,2,-0.104029440058852
