"ID","Hyp_score","SD_Score","RM"
1,0,0,0.258084045584046
2,0,0,0.193518981018981
4,1.5,1.5,0.162402714531198
6,0.5,0,0.0588523533569973
7,0,0,0.23756105006105
8,1,0,0.686972132328169
10,0,0,-0.0370370370370371
11,0.25,0,0.00920337832102536
13,0,0,0.618296055796056
14,2,2,0.654072398190045
15,2,2,0.216152434883085
16,0,0,0.0948971736897434
17,0.75,0,0.422161172161172
19,0,0,-0.000623426281320949
20,0,0,0.817672197083962
21,0,0,0.686594545805072
22,0,0,0.215664564193976
23,0,0,-0.0813058286742497
24,2,1.5,0.603378190723392
25,0,1,-0.0749034462269755
27,0,0,0.854731842231842
28,0,0,1.17751725398784
29,0,0,0.205756760439423
30,0,0,0.778835978835979
31,0,0,1.00319264069264
32,0,0,0.145574795574796
